"Sample","WorkingSetMB","PrivateMB","RealizedNodes","Gen2Collections","Scrolled","ScrollDriven","ExtentHeight","ViewportHeight","VerticalPercent"
"1","271.9","176.2","978","0","True","True","0","0","100"
"2","272.7","178.3","978","0","True","True","0","0","0"
"3","270.8","177.7","978","0","True","True","0","0","100"
"4","271.3","178.5","978","0","True","True","0","0","0"
"5","271.9","178.9","978","0","True","True","0","0","100"
"6","271.4","179.2","978","0","True","True","0","0","0"
"7","271.1","179.9","978","0","True","True","0","0","100"
"8","271.6","180.2","978","0","True","True","0","0","0"
"9","271.6","180.3","978","0","True","True","0","0","100"
"10","272.5","181.2","978","0","True","True","0","0","0"
"11","272.9","181.5","978","0","True","True","0","0","100"
"12","273.8","182.4","978","0","True","True","0","0","0"
"13","274.7","183.3","978","0","True","True","0","0","100"
"14","275.3","184","978","0","True","True","0","0","0"
"15","276.2","184.7","978","0","True","True","0","0","100"
"16","278","186.1","978","0","True","True","0","0","0"
"17","278.3","186.2","978","0","True","True","0","0","100"
"18","278.4","186.1","978","0","True","True","0","0","0"
"19","278.4","186.1","978","0","True","True","0","0","100"
"20","278.9","186.1","978","0","True","True","0","0","0"
