"Sample","WorkingSetMB","PrivateMB","RealizedNodes","Gen2Collections","Scrolled","ScrollDriven","ExtentHeight","ViewportHeight","VerticalPercent"
"1","272.8","180.2","1323","0","True","True","0","0","100"
"2","265.8","175.4","1323","0","True","True","0","0","0"
"3","268.3","177.2","1323","0","True","True","0","0","100"
"4","269.3","178.2","1323","0","True","True","0","0","0"
"5","270.3","177.4","1323","0","True","True","0","0","100"
"6","270.5","177.6","1323","0","True","True","0","0","0"
"7","272.4","179.3","1323","0","True","True","0","0","100"
"8","273.2","180.1","1323","0","True","True","0","0","0"
"9","273.3","180.2","1323","0","True","True","0","0","100"
"10","274.1","180.9","1323","0","True","True","0","0","0"
"11","282.2","188.9","1423","0","True","True","0","0","100"
"12","280.7","187.5","1423","0","True","True","0","0","0"
"13","261.8","184.6","1423","0","True","True","0","0","100"
"14","263.2","184.8","1423","0","True","True","0","0","0"
"15","264.1","185.8","1423","0","True","True","0","0","100"
"16","265.5","186.9","1423","0","True","True","0","0","0"
"17","266.6","187.9","1423","0","True","True","0","0","100"
"18","268.4","189.4","1423","0","True","True","0","0","0"
"19","268.6","189.6","1423","0","True","True","0","0","100"
"20","268.8","189.7","1423","0","True","True","0","0","0"
