"Sample","WorkingSetMB","PrivateMB","RealizedNodes","Gen2Collections","Scrolled","ScrollDriven","ExtentHeight","ViewportHeight","VerticalPercent"
"1","269.4","176.7","1326","0","True","True","0","0","100"
"2","267.3","174.3","1326","0","True","True","0","0","0"
"3","265","172.4","1326","0","True","True","0","0","100"
"4","266.2","173.8","1326","0","True","True","0","0","0"
"5","268.1","176.6","1326","0","True","True","0","0","100"
"6","268.8","176.7","1326","0","True","True","0","0","0"
"7","269.3","176.5","1326","0","True","True","0","0","100"
"8","270.1","176.4","1326","0","True","True","0","0","0"
"9","270.5","176.9","1326","0","True","True","0","0","100"
"10","273.6","180","1426","0","True","True","0","0","0"
"11","281.1","187.3","1426","0","True","True","0","0","100"
"12","282.3","188.5","1426","0","True","True","0","0","0"
"13","282.3","188.5","1426","0","True","True","0","0","100"
"14","282.7","188.9","1426","0","True","True","0","0","0"
"15","283.7","189.8","1426","0","True","True","0","0","100"
"16","286.3","192.5","1426","0","True","True","0","0","0"
"17","286.2","192.1","1426","0","True","True","0","0","100"
"18","286.3","192.3","1426","0","True","True","0","0","0"
"19","285.6","192.5","1426","0","True","True","0","0","100"
"20","284","193.5","1426","0","True","True","0","0","0"
