"Sample","Status","Ms","SaveMs"
"1","OK","515","879"
"2","OK","489","827"
"3","OK","522","858"
"4","OK","481","826"
"5","OK","486","843"
"6","OK","471","799"
"7","OK","481","776"
"8","OK","492","776"
"9","OK","472","753"
"10","OK","435","728"
"11","OK","440","728"
"12","OK","523","838"
"13","OK","450","736"
"14","OK","480","812"
"15","OK","475","797"
"16","OK","441","743"
"17","OK","464","786"
"18","OK","507","830"
"19","OK","491","818"
"20","OK","472","775"
