"Sample","WorkingSetMB","PrivateMB","RealizedNodes","Gen2Collections","Scrolled","ScrollDriven","ExtentHeight","ViewportHeight","VerticalPercent"
"1","256.3","173.2","1322","0","True","True","0","0","100"
"2","254.4","171.3","1322","0","True","True","0","0","0"
"3","255.6","173.9","1322","0","True","True","0","0","100"
"4","256.1","173.5","1322","0","True","True","0","0","0"
"5","257.5","174.6","1322","0","True","True","0","0","100"
"6","257.8","174.8","1322","0","True","True","0","0","0"
"7","258.4","176.2","1322","0","True","True","0","0","100"
"8","256.7","176.8","1322","0","True","True","0","0","0"
"9","254.8","177.3","1322","0","True","True","0","0","100"
"10","255.3","178.3","1423","0","True","True","0","0","0"
"11","258.5","183.3","1423","0","True","True","0","0","100"
"12","257.9","184.5","1423","0","True","True","0","0","0"
"13","258.1","184.7","1423","0","True","True","0","0","100"
"14","258.3","185","1423","0","True","True","0","0","0"
"15","259.6","186.3","1423","0","True","True","0","0","100"
"16","260.7","187.3","1423","0","True","True","0","0","0"
"17","262","188.7","1423","0","True","True","0","0","100"
"18","263","189.5","1423","0","True","True","0","0","0"
"19","263.7","190.2","1423","0","True","True","0","0","100"
"20","264.2","190.7","1423","0","True","True","0","0","0"
