"Sample","WorkingSetMB","PrivateMB","RealizedNodes","Gen2Collections","Scrolled","ScrollDriven","ExtentHeight","ViewportHeight","VerticalPercent"
"1","268.7","183.5","1334","0","True","True","0","0","100"
"2","266.4","181.8","1334","0","True","True","0","0","0"
"3","267.4","184.6","1334","0","True","True","0","0","100"
"4","269","185.6","1334","0","True","True","0","0","0"
"5","269.8","185.6","1334","0","True","True","0","0","100"
"6","270.1","185.5","1334","0","True","True","0","0","0"
"7","271.1","186.3","1334","0","True","True","0","0","100"
"8","271.8","186.9","1334","0","True","True","0","0","0"
"9","272.5","187.6","1334","0","True","True","0","0","100"
"10","273.7","188.9","1423","0","True","True","0","0","0"
"11","282","196.9","1423","0","True","True","0","0","100"
"12","283.1","197.9","1423","0","True","True","0","0","0"
"13","283.2","197.9","1423","0","True","True","0","0","100"
"14","283.3","198.1","1423","0","True","True","0","0","0"
"15","283.4","198.2","1423","0","True","True","0","0","100"
"16","284.1","199","1423","0","True","True","0","0","0"
"17","284","198.7","1423","0","True","True","0","0","100"
"18","287.2","201.7","1423","0","True","True","0","0","0"
"19","288.4","203","1423","0","True","True","0","0","100"
"20","289.4","204","1423","0","True","True","0","0","0"
